method,reference,source_table,c_value,f1_ceiling,aupr_ceiling,f1_ratio,aupr_ratio
attention_inferred,trrust_human,probe_priors,0.20284030396361646,0.33726888481407585,0.20688616195002782,0.0,4.365843360296097e-05
attention_inferred,trrust_human,probe_priors,0.2060857488270343,0.3417431124237406,0.2101714151207176,0.0,4.297599537824285e-05
attention_inferred,trrust_human,probe_priors,0.20933119369045217,0.34619332533984704,0.21345608075598144,0.0,4.231468006382206e-05
attention_inferred,trrust_human,probe_priors,0.21257663855387005,0.35061971638739614,0.21674016239316982,0.0,4.167352125759668e-05
attention_inferred,trrust_human,probe_priors,0.21582208341728792,0.3550224763325254,0.220023663477312,0.0,4.1051610640953164e-05
attention_inferred,trrust_human,probe_priors,0.21906752828070575,0.35940179390991484,0.2233065873650448,0.0,4.0448093678944427e-05
attention_inferred,trrust_human,probe_priors,0.22231297314412363,0.3637578558497564,0.2265889373283158,0.0,3.986216569690399e-05
attention_inferred,trrust_human,probe_priors,0.2255584180075415,0.3680908469042943,0.22987071655787636,0.0,3.9293068295598145e-05
attention_inferred,trrust_human,probe_priors,0.22880386287095933,0.37240094987394545,0.23315192816658026,0.0,3.8740086071316495e-05
attention_inferred,trrust_human,probe_priors,0.2320493077343772,0.37668834563300724,0.23643257519250097,0.0,3.820254361105991e-05
attention_inferred,trrust_human,probe_priors,0.2352947525977951,0.380953213154959,0.23971266060187976,0.0,3.767980273627604e-05
attention_inferred,trrust_human,probe_priors,0.23854019746121297,0.3851957295373665,0.24299218729191668,0.0,3.717125997148134e-05
probe_attention,dorothea_human,probe_priors,0.04748801220575414,0.09067027336333133,0.04756332442546047,0.001607227405154542,0.004945529015324347
probe_attention,dorothea_human,probe_priors,0.0494262984182339,0.09419679779844006,0.049504275782436755,0.0015470562862893128,0.004751625941265743
probe_attention,dorothea_human,probe_priors,0.05136458463071366,0.09771031929662194,0.05144520607867513,0.001491426383942214,0.004572356084095946
probe_attention,dorothea_human,probe_priors,0.05330287084319342,0.10121090964182644,0.05338611573327283,0.0014398422926749047,0.004406123161059942
probe_attention,dorothea_human,probe_priors,0.05524115705567318,0.10469864009058685,0.05532700513619588,0.0013918781376368798,0.0042515549220919465
probe_attention,dorothea_human,probe_priors,0.05717944326815294,0.10817358137685507,0.05726787465130005,0.0013471657897200773,0.004107465179102121
probe_attention,dorothea_human,probe_priors,0.05911772948063271,0.1116358037167836,0.05920872461894513,0.0013053853990437204,0.003972823304762324
probe_attention,dorothea_human,probe_priors,0.06105601569311247,0.11508537681345489,0.061149555358268715,0.00126625773158491,0.0038467295409302183
probe_attention,dorothea_human,probe_priors,0.06299430190559223,0.11852236986155913,0.06309036716917363,0.0012295379205851038,0.0037283948654261894
probe_attention,dorothea_human,probe_priors,0.06493258811807198,0.12194685155202092,0.06503116033407258,0.0011950103371076738,0.003617124464687665
probe_attention,dorothea_human,probe_priors,0.06687087433055175,0.12535889007657539,0.06697193511942637,0.0011624843526724137,0.0035123040806860108
probe_attention,dorothea_human,probe_priors,0.06880916054303152,0.12875855313229453,0.06891269177710516,0.001131790818064492,0.0034133886653597385
probe_attention,dorothea_human,probe_priors,0.07074744675551127,0.13214590792606457,0.07085343054559784,0.0011027791209693339,0.003319892900034248
probe_attention,dorothea_human,probe_priors,0.07268573296799102,0.1355210211790147,0.07279415165109021,0.001075314714385917,0.0032313832317032998
probe_attention,dorothea_human,probe_priors,0.07462401918047079,0.13888395913089774,0.07473485530842908,0.0010492770302224176,0.003147471150383959
probe_attention,dorothea_human,probe_priors,0.07656230539295056,0.14223478754442354,0.07667554172198726,0.0010245577098140321,0.0030678074876117544
