method,reference,precision,recall,f1,aupr,pred_edges,true_edges,candidate_edges,reference_excluded,ref_nodes,overlap_nodes,ref_node_overlap_pct,gene_universe_overlap_pct,source_table,coverage_overlap,observed_base_rate
scenic_grnboost2,hpn_dream,0.0,0.0,0.0,3.0148447640771995e-06,3488,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
scenic_grnboost2,beeline_gsd,0.0,0.0,0.0,1.2375225195087353e-06,3488,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
scenic_grnboost2,dorothea_trrust_union_immune,0.0229357798165137,0.0069066735733402,0.010616415632672,0.0004543169400756,3488,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
scenic_pruned,hpn_dream,0.0,0.0,0.0,3.014751626104746e-06,29,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
scenic_pruned,beeline_gsd,0.0,0.0,0.0,1.237330177644851e-06,29,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
scenic_pruned,dorothea_trrust_union_immune,0.0476190476190476,8.6333419666753e-05,0.0001723543605653,0.0003195052766069,29,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
pidc_proxy,hpn_dream,0.0,0.0,0.0,3.014717318258888e-06,15000,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
pidc_proxy,beeline_gsd,0.0,0.0,0.0,1.2376754593969737e-06,15000,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
pidc_proxy,dorothea_trrust_union_immune,0.0022,0.0028490028490028,0.0024827897528495,0.0003619776903496,15000,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
pidc_full,hpn_dream,0.0,0.0,0.0,3.014724826426898e-06,9950,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
pidc_full,beeline_gsd,0.0,0.0,0.0,1.2373111562757078e-06,9950,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
pidc_full,dorothea_trrust_union_immune,0.0,0.0,0.0,0.0003108644286504,9950,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
pearson,hpn_dream,0.0,0.0,0.0,3.014392064481389e-06,49900,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
pearson,beeline_gsd,0.0,0.0,0.0,1.2367378828042471e-06,49900,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
pearson,dorothea_trrust_union_immune,0.0013226452905811,0.0056980056980056,0.0021469349251012,0.0003420434736741,49900,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
spearman,hpn_dream,0.0,0.0,0.0,3.0143920724455973e-06,49900,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
spearman,beeline_gsd,0.0,0.0,0.0,1.2367378828042471e-06,49900,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
spearman,dorothea_trrust_union_immune,0.0013426853707414,0.0057843391176724,0.0021794642421482,0.0003433953192191,49900,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
random,hpn_dream,0.0,0.0,0.0,3.0137961912244524e-06,49809,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
random,beeline_gsd,0.0,0.0,0.0,1.2366896630794875e-06,49809,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
random,dorothea_trrust_union_immune,0.0004818406312112,0.002072002072002,0.0007818608287724,0.0003119518721161,49809,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
attention_inferred,hpn_dream,0.0,0.0,0.0,,224515,232,2503651332,False,51,51,100.0,0.1024302068688491,probe_priors_full_genes,0.999999,9.26646602243415e-08
