artifact,entry_type,candidate_edges,true_edges,observed_baserate,aupr,f1,precision,recall,sweep_axis,sweep_value
omnipath_dorothea_intersection_immune_hpn,percentile_sweep,29253,583.0,0.019929579872149866,,0.04189824711415135,0.027904328018223234,0.08404802744425385,percentile,94.0
omnipath_dorothea_intersection_immune_hpn,percentile_sweep,29253,583.0,0.019929579872149866,,0.04105571847507331,0.028708133971291867,0.07204116638078903,percentile,95.0
omnipath_dorothea_intersection_immune_hpn,top_k_sweep,29253,583.0,0.019929579872149866,,0.03049257232212666,0.019746835443037975,0.06689536878216124,top_k,25.0
omnipath_dorothea_intersection_immune_hpn,top_k_sweep,29253,583.0,0.019929579872149866,,0.03353187734392235,0.019240506329113925,0.13036020583190394,top_k,50.0
omnipath_dorothea_intersection_immune_hpn,top_k_sweep,29253,583.0,0.019929579872149866,,0.037250972533301896,0.02,0.27101200686106347,top_k,100.0
omnipath_dorothea_intersection_immune_hpn,top_k_sweep,29253,583.0,0.019929579872149866,,0.03876779538325424,0.020337552742616033,0.41337907375643224,top_k,150.0
regulatory,global,43198,,,0.00859105641472178,,,,global,
regulatory,percentile_sweep,43198,311.0,0.0071994073799712946,,0.0189922913640934,0.009837962962962963,0.2733118971061093,percentile,80.0
regulatory,percentile_sweep,43198,311.0,0.0071994073799712946,,0.019142983360329848,0.010030864197530864,0.2090032154340836,percentile,85.0
regulatory,percentile_sweep,43198,311.0,0.0071994073799712946,,0.014251781472684084,0.007638888888888889,0.10610932475884244,percentile,90.0
regulatory,percentile_sweep,43198,311.0,0.0071994073799712946,,0.014865941067162198,0.008101851851851851,0.09003215434083602,percentile,92.0
regulatory,percentile_sweep,43198,311.0,0.0071994073799712946,,0.014467791939373063,0.008101851851851851,0.06752411575562701,percentile,94.0
regulatory,percentile_sweep,43198,311.0,0.0071994073799712946,,0.014569000404694455,0.008333333333333333,0.05787781350482315,percentile,95.0
regulatory,top_k_sweep,43198,311.0,0.0071994073799712946,,0.014305177111716624,0.008,0.06752411575562701,top_k,25.0
regulatory,top_k_sweep,43198,311.0,0.0071994073799712946,,0.014745549361625606,0.00780952380952381,0.13183279742765272,top_k,50.0
regulatory,top_k_sweep,43198,311.0,0.0071994073799712946,,0.017019702155212285,0.008761904761904762,0.2958199356913183,top_k,100.0
regulatory,top_k_sweep,43198,311.0,0.0071994073799712946,,0.0169354336591744,0.008634920634920634,0.43729903536977494,top_k,150.0
